"id","date","league","home_team","away_team","home_odds","draw_odds","away_odds","bookmaker","fixture_id","kickoff_time","odds_captured_at"
14,"2026-02-12","Premier League (England)","Brentford","Arsenal","5.00","3.90","1.67","Unibet (UK)",1379220,"2026-02-12 20:00:00","2026-02-12 06:16:50.152146"
15,"2026-02-18","Premier League (England)","Wolves","Arsenal","10.50","5.00","1.25","Sky Bet",1379278,"2026-02-18 20:00:00","2026-02-12 06:16:50.152146"
16,"2026-02-21","Premier League (England)","Chelsea","Burnley","1.23","6.50","11.00","Unibet (UK)",1379231,"2026-02-21 15:00:00","2026-02-12 06:16:50.152146"
17,"2026-02-21","Premier League (England)","Brentford","Brighton","2.10","3.60","3.25","Unibet (UK)",1379230,"2026-02-21 15:00:00","2026-02-12 06:16:50.152146"
18,"2026-02-21","Premier League (England)","Aston Villa","Leeds","1.78","3.75","4.40","Unibet (UK)",1379229,"2026-02-21 15:00:00","2026-02-12 06:16:50.152146"
19,"2026-02-21","Premier League (England)","West Ham","Bournemouth","2.55","3.60","2.55","Unibet (UK)",1379238,"2026-02-21 17:30:00","2026-02-12 06:16:50.152146"
20,"2026-02-21","Premier League (England)","Manchester City","Newcastle","1.48","4.80","5.75","Unibet (UK)",1379234,"2026-02-21 20:00:00","2026-02-12 06:16:50.152146"
21,"2026-02-22","Premier League (England)","Crystal Palace","Wolves","1.62","3.90","5.25","Unibet (UK)",1379232,"2026-02-22 14:00:00","2026-02-12 06:16:50.152146"
22,"2026-02-22","Premier League (England)","Nottingham Forest","Liverpool","3.90","3.80","1.85","Unibet (UK)",1379235,"2026-02-22 14:00:00","2026-02-12 06:16:50.152146"
23,"2026-02-22","Premier League (England)","Sunderland","Fulham","2.60","3.20","2.75","Paddy Power",1379236,"2026-02-22 14:00:00","2026-02-12 06:16:50.152146"
24,"2026-02-22","Premier League (England)","Tottenham","Arsenal","6.00","4.00","1.55","Unibet (UK)",1379237,"2026-02-22 16:30:00","2026-02-12 06:16:50.152146"
25,"2026-02-23","Premier League (England)","Everton","Manchester United","3.75","3.75","1.95","Unibet (UK)",1379233,"2026-02-23 20:00:00","2026-02-12 06:16:50.152146"
26,"2026-02-27","Premier League (England)","Wolves","Aston Villa",NULL,NULL,NULL,NULL,1379248,"2026-02-27 20:00:00",NULL
